LOGIN;DOSSIER;Accéder dossier;Lire fichier;Modifier fichier;Renommer fichier;Créer fichier;Supprimer fichier;Renommer dossier;Supprimer dossier;Créer sous-dossier;Renommer sous-dossier;Créer fichier dans sous-dossier;Supprimer fichier dans sous-dossier;Supprimer sous-dossier
OR52770;/ZUY10BURA/ZXR10/;O;N;N;N;N;N;N;N;N;N;N;N;N
OR52770;/ZUY10BURA/ZXR10/Donnees/;O;N;N;N;N;N;N;N;N;N;N;N;N
OR52770;/ZUY10BURA/ZXR10/Donnees/BOBJ_D/;O;O;O;O;O;O;N;N;O;O;O;O;O
OR52770;/ZUY10BURA/ZXR10/Donnees/BOBJ_D/ACCES_CAISSE/;O;N;N;N;N;N;N;N;N;N;N;N;N
OR52770;/ZUY10BURA/ZXR10/Donnees/BOBJ_D/ACCES_CAISSE/ARCH_TRANSFERT/;O;N;N;N;N;N;N;N;N;N;N;N;N
OR52770;/ZUY10BURA/ZXR10/Donnees/BOBJ_D/ACCES_CAISSE/ARCH_TRANSFERT/AXUPOC1J/;O;O;N;N;N;N;N;N;O;N;N;N;O
OR52770;/ZUY10BURA/ZXR10/Donnees/BOBJ_D/ACCES_CAISSE/ARCH_TRANSFERT/BOB93/;O;O;N;N;N;N;N;N;O;N;N;N;O
OR52770;/ZUY10BURA/ZXR10/Donnees/BOBJ_D/ACCES_CAISSE/ARCH_TRANSFERT/EMABIDE2/;O;O;N;N;N;N;N;N;O;N;N;N;O
OR52770;/ZUY10BURA/ZXR10/Donnees/BOBJ_D/ACCES_CAISSE/ARCH_TRANSFERT/EMAC1BBL/;O;O;N;N;N;N;N;N;O;N;N;N;O
OR52770;/ZUY10BURA/ZXR10/Donnees/BOBJ_D/ACCES_CAISSE/ARCH_TRANSFERT/FDPINF1/;O;O;N;N;N;N;N;N;O;N;N;N;O
OR52770;/ZUY10BURA/ZXR10/Donnees/BOBJ_D/ACCES_CAISSE/ARCH_TRANSFERT/GREE1CDJ/;O;O;N;N;N;N;N;N;O;N;N;N;O
OR52770;/ZUY10BURA/ZXR10/Donnees/BOBJ_D/ACCES_CAISSE/ARCH_TRANSFERT/PMRXSB11/;O;O;N;N;N;N;N;N;O;N;N;N;O
OR52770;/ZUY10BURA/ZXR10/Donnees/BOBJ_D/ACCES_CAISSE/ARCH_TRANSFERT/PRBPREAB/;O;O;N;N;N;N;N;N;O;N;N;N;O
OR52770;/ZUY10BURA/ZXR10/Donnees/BOBJ_D/ACCES_CAISSE/ARCH_TRANSFERT/TablesPrivees/;O;O;N;N;N;N;N;N;O;N;N;N;O
OR52770;/ZUY10BURA/ZXR10/Donnees/BOBJ_D/ACCES_CAISSE/ARCH_TRANSFERT/TIKBURA1/;O;O;N;N;N;N;N;N;O;N;N;N;O
OR52770;/ZUY10BURA/ZXR10/Donnees/BOBJ_D/ACCES_CAISSE/EXPORT/;O;O;N;N;N;N;N;N;O;N;N;N;O
OR52770;/ZUY10BURA/ZXR10/SAS/;O;N;N;N;N;N;N;N;N;N;N;N;N
OR52771;/ZUY10BURA/ZXR10/;O;N;N;N;N;N;N;N;N;N;N;N;N
OR52771;/ZUY10BURA/ZXR10/Donnees/;O;N;N;N;N;N;N;N;N;N;N;N;N
OR52771;/ZUY10BURA/ZXR10/Donnees/BOBJ_D/;O;O;O;O;O;O;N;N;O;O;O;O;O
OR52771;/ZUY10BURA/ZXR10/Donnees/BOBJ_D/ACCES_CAISSE/;O;N;N;N;N;N;N;N;N;N;N;N;N
OR52771;/ZUY10BURA/ZXR10/Donnees/BOBJ_D/ACCES_CAISSE/IMPORT/;O;O;O;O;O;O;N;N;O;O;O;O;O
OR52771;/ZUY10BURA/ZXR10/SAS/;O;N;N;N;N;N;N;N;N;N;N;N;N
OR52770;/ZUY10BURA/ZZR10/;N;N;N;N;N;N;N;N;N;N;N;N;N
OR52771;/ZUY10BURA/ZZR10/;N;N;N;N;N;N;N;N;N;N;N;N;N
